"","pct","pollster","state","end_date","pollscore","party","methodology","sample_size"
"1",50.2,"Praecones Analytica","New Hampshire",2024-10-26,0,"REP","Online Panel",622
"2",52,"Siena/NYT","Texas",2024-10-26,-1.5,"REP","Live Phone",1180
"3",50,"Siena/NYT","Texas",2024-10-26,-1.5,"REP","Live Phone",1180
"4",52,"Siena/NYT","Texas",2024-10-26,-1.5,"REP","Live Phone",1180
"5",51,"Siena/NYT","Texas",2024-10-26,-1.5,"REP","Live Phone",1180
"6",55,"Siena/NYT","Nebraska",2024-10-26,-1.5,"REP","Live Phone",1194
"7",53,"Siena/NYT","Nebraska",2024-10-26,-1.5,"REP","Live Phone",1194
"8",55,"Siena/NYT","Nebraska",2024-10-26,-1.5,"REP","Live Phone",1194
"9",53,"Siena/NYT","Nebraska",2024-10-26,-1.5,"REP","Live Phone",1194
"10",42,"Siena/NYT","Nebraska CD-2",2024-10-26,-1.5,"REP","Live Phone",500
"11",41,"Siena/NYT","Nebraska CD-2",2024-10-26,-1.5,"REP","Live Phone",500
"12",49,"YouGov","National",2024-10-25,-1.1,"REP","Online Panel",2154
"13",58.6,"Emerson","Montana",2024-10-25,-1.1,"REP","Online Panel/Text-to-Web",1000
"14",50.3,"St. Pete Polls","Florida",2024-10-25,-0.3,"REP","IVR/Text",1227
"15",46,"CES / YouGov","National",2024-10-25,-1.1,"REP","Online Panel",78247
"16",47,"CES / YouGov","National",2024-10-25,-1.1,"REP","Online Panel",48732
"17",49.3,"Emerson","National",2024-10-24,-1.1,"REP","IVR/Online Panel/Text-to-Web",1000
"18",47.2,"Emerson","New Hampshire",2024-10-23,-1.1,"REP","Online Panel/Text-to-Web",915
"19",47,"Siena/NYT","National",2024-10-23,-1.5,"REP","Live Phone",2516
"20",46,"Siena/NYT","National",2024-10-23,-1.5,"REP","Live Phone",2516
"21",48,"Siena/NYT","National",2024-10-23,-1.5,"REP","Live Phone",2516
"22",47,"Siena/NYT","National",2024-10-23,-1.5,"REP","Live Phone",2516
"23",47,"CNN/SSRS","National",2024-10-23,-0.6,"REP","Probability Panel",1704
"24",46,"CNN/SSRS","National",2024-10-23,-0.6,"REP","Probability Panel",1704
"25",48,"Suffolk","Wisconsin",2024-10-23,-1,"REP","Live Phone",500
"26",43,"Washington Post/George Mason University","Virginia",2024-10-23,-0.8,"REP","Live Phone/Text-to-Web",1004
"27",42,"Washington Post/George Mason University","Virginia",2024-10-23,-0.8,"REP","Live Phone/Text-to-Web",1004
"28",50.7,"Emerson","Pennsylvania",2024-10-22,-1.1,"REP","Online Panel/Text-to-Web",860
"29",50.2,"Emerson","North Carolina",2024-10-22,-1.1,"REP","Online Panel/Text-to-Web",950
"30",49.9,"Emerson","Wisconsin",2024-10-22,-1.1,"REP","Online Panel/Text-to-Web",800
"31",46,"YouGov","National",2024-10-22,-1.1,"REP","Online Panel",1422
"32",46,"YouGov","National",2024-10-22,-1.1,"REP","Online Panel",1293
